Sample	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8668755	52.731322892795	47416719.0													
SRR8668756	68.97238531551383	58270530.0													
SRR8668757	48.72672329356531	46344064.0													
SRR8668758	62.20519820928473	18762070.0													
SRR8668759	48.09737477088743	2560609.0													
SRR8668769	67.60719390746878	63720816.0													
SRR8668771	52.1503335910184	33603869.0													
SRR8668772	54.32876513499446	37041301.0													
SRR8668773	65.41131400983676	45774918.0													
SRR8668774	58.95608069017697	78640298.0													
fastp | SRR8668755 | SRR8668755			62.547799999999995	0.926246	6157332476.0	89248773.0	0.504836	99.25203527575925							
fastp | SRR8668756 | SRR8668756			54.62200000000001	0.903393	4840191926.0	83346167.0	0.480817	98.65336637396577							
fastp | SRR8668757 | SRR8668757			53.4626	0.943571	5755506093.0	94595969.0	0.477777	99.45937426095566							
fastp | SRR8668758 | SRR8668758			38.9706	0.877282	1618049160.0	29385798.0	0.494281	97.4279164893854							
fastp | SRR8668759 | SRR8668759			40.792899999999996	0.905518	252113691.0	4447557.0	0.566872	83.54099194523012	10.817569849517318						
fastp | SRR8668769 | SRR8668769			68.5126	0.951229	5752253123.0	93750201.0	0.535605	99.46809246559515							
fastp | SRR8668771 | SRR8668771			60.9629	0.951557	3938060673.0	64148828.0	0.525601	99.55350021370639							
fastp | SRR8668772 | SRR8668772			59.3155	0.95505	4172635108.0	67765595.0	0.507819	99.3923268242699							
fastp | SRR8668773 | SRR8668773			59.3568	0.955763	4285341371.0	69548566.0	0.507149	99.38331488785751							
fastp | SRR8668774 | SRR8668774			56.1149	0.91464	7695584102.0	131704598.0	0.491504	98.73801478925373							
fastqc | SRR8668755										65.89399718245215	50.0	74.47977032774406	75	30.0	89921353.0
fastqc | SRR8668755_1M_subsample										34.98187394271703	50.0	74.479287	75	20.0	1000000.0
fastqc | SRR8668756										59.05638296198224	48.0	74.27136176491946	75	20.0	84483855.0
fastqc | SRR8668757										56.27171289620192	47.0	74.47828267220119	75	20.0	95110159.0
fastqc | SRR8668758										48.73720826058155	49.0	72.73567113313266	75	10.0	30161579.0
fastqc | SRR8668759										50.82794296566836	57.0	72.67510869111962	75	40.0	5323802.0
fastqc | SRR8668769										71.71708122692716	53.0	74.49919337120164	75	30.0	94251532.0
fastqc | SRR8668771										63.81019030990686	52.0	74.51151436024564	75	30.0	64436537.0
fastqc | SRR8668772										62.37434087264336	50.0	74.46793996753237	75	30.0	68179906.0
fastqc | SRR8668773										62.23118774864832	50.0	74.46369312611812	75	30.0	69980123.0
fastqc | SRR8668774										59.44554091232145	49.0	73.84977352599223	75	30.0	133387934.0
